FID,START_X,START_Y,END_X,END_Y
398,3051.04906047,-749.861363276,3061.26680555,-763.46163232
399,1884.76430325,-367.768530911,1863.75795036,-349.64794046
400,2935.17475582,-495.132649652,2937.81971417,-498.197713636
401,2937.81971417,-498.197713636,2939.78798432,-500.478609265
402,2939.78798432,-500.478609265,2952.39446807,-515.087413685
403,2616.1881787,-661.25441992,2621.97183935,-666.184858174
404,2621.97183935,-666.184858174,2660.31813138,-698.874193978
405,2660.31813138,-698.874193978,2660.71142101,-699.209464382
406,2660.71142101,-699.209464382,2693.94113056,-727.537030797
407,2693.94113056,-727.537030797,2716.85151628,-747.06760996
408,2716.85151628,-747.06760996,2736.08255764,-763.46163232
409,2496.75064386,-474.314431953,2590.6807556,-582.01226836
410,2590.6807556,-582.01226836,2598.94160944,-591.483949685
411,2598.94160944,-591.483949685,2632.27531935,-629.703519223
412,2632.27531935,-629.703519223,2637.8545621,-636.100534639
413,1971.92720072,309.888243966,1923.54662614,386.53836768
414,3381.04629323,-402.871192003,3386.3877488,-408.679632025
415,2647.83907177,189.259570937,2680.41198096,148.988659556
416,2680.41198096,148.988659556,2693.66777285,132.600107418
417,2693.66777285,132.600107418,2695.78858591,129.978079569
418,2647.83907177,189.259570937,2647.74059811,189.381317019
419,2361.0545154,-487.320873501,2420.9656555,-554.383913823
420,2316.51417479,348.637486403,2288.29209268,386.53836768
421,2316.51417479,348.637486403,2322.93454834,340.015237526
422,2322.93454834,340.015237526,2350.15531773,303.45907045
423,2350.15531773,303.45907045,2385.52533049,255.958866564
424,2385.52533049,255.958866564,2493.20347987,111.352358089
425,3533.5011978,-426.791596729,3561.03693558,-463.438429616
426,3561.03693558,-463.438429616,3563.75795036,-467.0597807
427,2904.16833449,92.6088305794,2977.07264749,21.8032906078
428,2695.18985562,-644.165270706,2661.33427498,-698.215089351
429,2661.33427498,-698.215089351,2660.71142101,-699.209464382
430,2735.37886536,-580.004247721,2695.18985562,-644.165270706
431,2957.68102659,202.528197081,2904.16833449,92.6088305794
432,2904.16833449,92.6088305794,2889.56106044,62.6043167391
433,2988.03345153,264.874515135,2957.68102659,202.528197081
434,3554.97521325,97.4605028454,3563.75795036,112.855593487
435,3554.97521325,97.4605028454,3508.98384514,16.8431199039
436,3508.98384514,16.8431199039,3477.71450648,-37.9683013002
437,2612.77525263,-480.796792689,2568.49896147,-552.079862145
438,2690.03094314,-356.418200726,2612.77525263,-480.796792689
439,3478.87582379,373.849781071,3487.69287892,386.538367681
440,3478.87582379,373.849781071,3461.98826364,349.546964959
441,3461.98826364,349.546964959,3400.36304216,260.862370364
442,3400.36304216,260.862370364,3366.84917304,212.632703606
443,3366.84917304,212.632703606,3335.82705838,167.988910108
444,3335.82705838,167.988910108,3299.45229005,115.642135428
445,3308.76028514,378.367893241,3314.2285097,386.53836768
446,3308.76028514,378.367893241,3284.13661176,341.575861128
447,3284.13661176,341.575861128,3269.55114397,319.782646489
448,3269.55114397,319.782646489,3269.16331594,319.203164248
449,3269.16331594,319.203164248,3267.36559051,316.517051142
450,3267.36559051,316.517051142,3214.42539171,237.415226479
451,2063.05677549,-614.495875534,1967.9527129,-762.910437543
452,1967.9527129,-762.910437543,1967.59950724,-763.46163232
453,2123.28032241,-520.514071874,2064.09207336,-612.880242352
454,2064.09207336,-612.880242352,2063.05677549,-614.495875534
455,2095.77723108,-358.956679337,2023.48462638,-459.044115329
456,2657.84686132,-598.232040219,2637.8545621,-636.100534639
457,2637.8545621,-636.100534639,2621.97183935,-666.184858174
458,2621.97183935,-666.184858174,2580.0789235,-745.536494142
459,2580.0789235,-745.536494142,2577.53273847,-750.359360811
460,2577.53273847,-750.359360811,2570.61552308,-763.46163232
461,3366.30431878,338.653702106,3389.11488708,386.53836768
462,3366.30431878,338.653702106,3338.15822061,279.568523696
463,3338.15822061,279.568523696,3328.62078495,259.547237466
464,3328.62078495,259.547237466,3314.1359153,229.140141529
