#FID, PT_X, PT_Y
820,-51801.9885,6711293.081
821,-51801.413,6711294.109
821,-51801.9885,6711293.081
821,-51802.7306,6711291.771
821,-51802.9053,6711291.366
821,-51803.1275,6711290.902
821,-51803.6355,6711289.827
821,-51803.9967,6711288.969
821,-51804.1792,6711288.402
822,-51804.1118,6711289.057
822,-51804.7388,6711287.461
823,-51804.2549,6711288.693
823,-51804.0824,6711288.703
824,-51802.7505,6711291.001
824,-51803.7784,6711288.842
825,-51803.1086,6711290.249
825,-51803.2374,6711288.59
826,-51798.1606,6711294.087
826,-51798.66,6711293.157
826,-51799.6092,6711292.02
827,-51797.8762,6711295.697
827,-51798.7725,6711293.716
827,-51798.9974,6711293.164
828,-51798.5158,6711293.82
828,-51798.9974,6711293.164
828,-51799.5213,6711292.534
829,-51798.7308,6711293.38
829,-51799.4903,6711292.286
830,-51798.8122,6711293.416
830,-51798.7692,6711293.027
831,-51799.1608,6711292.213
831,-51799.9777,6711291.32
832,-51798.983,6711292.77
832,-51799.1608,6711292.213
832,-51799.7462,6711290.907
832,-51800.3854,6711289.246
833,-51800.0028,6711290.996
833,-51801.0611,6711288.218
834,-51800.3142,6711288.123
834,-51800.0093,6711288.003
835,-51799.2024,6711291.313
835,-51799.9008,6711289.512
